116.214.34.9:443   | 172.71.211.14  | CN | 26ms | cloudflare | 2023-09-03 23:59:34
150.230.254.150:443 | 172.71.110.123 | KR | 134ms | cloudflare | 2023-09-04 03:07:15
138.2.114.247:443  | 172.71.110.79  | KR | 135ms | cloudflare | 2023-09-04 02:56:23
138.2.118.176:443  | 141.101.84.86  | KR | 136ms | cloudflare | 2023-09-04 02:56:18
193.122.116.210:443 | 172.70.222.228 | KR | 136ms | cloudflare | 2023-09-04 03:16:04
193.123.228.19:443 | 172.68.119.33  | KR | 136ms | cloudflare | 2023-09-04 03:16:40
138.2.121.235:443  | 141.101.84.34  | KR | 138ms | cloudflare | 2023-09-04 02:56:14
152.67.208.222:443 | 172.71.110.52  | KR | 138ms | cloudflare | 2023-09-04 03:11:28
150.230.248.184:443 | 141.101.84.88  | KR | 143ms | cloudflare | 2023-09-04 03:07:12
172.247.67.173:443 | 172.69.34.42   | US | 152ms | cloudflare | 2023-09-02 23:58:30
47.251.1.75:443    | 172.69.22.252  | US | 159ms | cloudflare | 2023-09-04 00:45:06
65.75.193.21:443   | 172.69.134.220 | US | 162ms | cloudflare | 2023-09-03 23:50:09
185.148.13.36:443  | 172.69.134.171 | US | 166ms | cloudflare | 2023-09-03 23:52:03
140.83.87.58:443   | 141.101.86.167 | JP | 170ms | cloudflare | 2023-09-04 02:56:50
116.214.34.9:443   | 172.71.210.201 | CN | 171ms | cloudflare | 2023-09-03 23:59:34
146.70.175.120:443 | 172.71.98.250  | NL | 191ms | cloudflare | 2023-09-04 02:39:33
146.70.175.102:443 | 172.71.182.56  | NL | 192ms | cloudflare | 2023-09-04 02:39:43
146.70.175.101:443 | 172.70.46.183  | NL | 193ms | cloudflare | 2023-09-04 02:39:30
146.70.175.107:443 | 172.71.102.4   | NL | 194ms | cloudflare | 2023-09-04 02:39:33
146.70.175.98:443  | 172.70.46.158  | NL | 195ms | cloudflare | 2023-09-04 02:39:34
141.11.40.205:443  | 172.71.135.3   | US | 196ms | cloudflare | 2023-09-04 02:39:18
146.70.175.123:443 | 172.71.102.150 | NL | 198ms | cloudflare | 2023-09-04 02:39:32
47.88.56.25:443    | 172.71.154.133 | US | 198ms | cloudflare | 2023-09-04 00:27:19
5.61.61.229:443    | 172.69.79.239  | GB | 198ms | cloudflare | 2023-09-04 02:36:54
47.88.56.25:443    | 172.69.22.159  | US | 199ms | cloudflare | 2023-09-04 00:27:50
146.70.175.125:443 | 141.101.76.177 | NL | 200ms | cloudflare | 2023-09-04 02:39:33
8.222.224.17:443   | 172.70.142.113 | SG | 201ms | cloudflare | 2023-09-04 00:19:13
116.214.34.66:443  | 172.71.215.36  | CN | 202ms | cloudflare | 2023-09-03 23:59:34
8.222.152.165:443  | 162.158.189.172 | SG | 203ms | cloudflare | 2023-09-04 00:18:13
8.222.152.165:443  | 172.70.142.194 | SG | 204ms | cloudflare | 2023-09-04 00:18:29
8.222.193.135:443  | 172.70.147.8   | SG | 207ms | cloudflare | 2023-09-04 00:18:41
8.222.221.90:443   | 162.158.107.3  | SG | 207ms | cloudflare | 2023-09-04 00:19:09
146.70.175.114:443 | 172.70.46.183  | NL | 208ms | cloudflare | 2023-09-04 02:39:29
8.222.244.123:443  | 172.70.189.174 | SG | 208ms | cloudflare | 2023-09-04 00:18:53
8.219.78.1:443     | 172.70.92.160  | SG | 209ms | cloudflare | 2023-09-04 00:15:10
8.222.128.131:443  | 162.158.189.128 | SG | 209ms | cloudflare | 2023-09-04 00:18:15
8.222.222.64:443   | 108.162.226.131 | SG | 210ms | cloudflare | 2023-09-04 00:19:11
172.247.67.174:443 | 172.70.210.106 | US | 213ms | cloudflare | 2023-09-02 23:58:15
8.222.221.109:443  | 162.158.162.139 | SG | 213ms | cloudflare | 2023-09-04 00:19:09
8.219.144.168:443  | 172.70.189.111 | SG | 214ms | cloudflare | 2023-09-04 00:15:32
8.222.253.235:443  | 172.70.142.134 | SG | 214ms | cloudflare | 2023-09-04 00:19:24
8.222.253.235:443  | 172.70.189.97  | SG | 214ms | cloudflare | 2023-09-04 00:19:02
8.222.212.219:443  | 162.158.171.9  | SG | 215ms | cloudflare | 2023-09-04 00:18:51
8.222.223.34:443   | 108.162.226.80 | SG | 215ms | cloudflare | 2023-09-04 00:18:50
8.219.193.202:443  | 108.162.226.79 | SG | 217ms | cloudflare | 2023-09-04 00:15:43
8.222.138.164:443  | 162.158.106.50 | SG | 217ms | cloudflare | 2023-09-04 00:18:27
8.222.140.87:443   | 162.158.171.7  | SG | 217ms | cloudflare | 2023-09-04 00:18:28
8.222.140.87:443   | 172.70.147.45  | SG | 217ms | cloudflare | 2023-09-04 00:18:14
8.222.138.164:443  | 162.158.106.79 | SG | 218ms | cloudflare | 2023-09-04 00:18:13
8.222.254.91:443   | 162.158.189.230 | SG | 218ms | cloudflare | 2023-09-04 00:19:04
146.70.175.113:443 | 172.71.182.56  | NL | 219ms | cloudflare | 2023-09-04 02:39:40
8.222.254.91:443   | 162.158.189.196 | SG | 219ms | cloudflare | 2023-09-04 00:19:23
8.222.255.15:443   | 172.70.143.46  | SG | 219ms | cloudflare | 2023-09-04 00:19:00
8.222.193.208:443  | 162.158.189.143 | SG | 220ms | cloudflare | 2023-09-04 00:18:41
8.222.222.64:443   | 162.158.106.156 | SG | 220ms | cloudflare | 2023-09-04 00:18:42
8.222.208.83:443   | 172.70.142.164 | SG | 221ms | cloudflare | 2023-09-04 00:19:06
104.244.88.127:443 | 172.70.110.155 | US | 222ms | cloudflare | 2023-09-04 00:57:07
8.222.255.15:443   | 172.70.147.201 | SG | 222ms | cloudflare | 2023-09-04 00:19:23
8.222.137.192:443  | 172.70.189.75  | SG | 223ms | cloudflare | 2023-09-04 00:18:13
8.222.137.192:443  | 162.158.106.227 | SG | 224ms | cloudflare | 2023-09-04 00:18:26
45.131.133.189:443 | 172.71.215.35  | ES | 225ms | cloudflare | 2023-09-03 23:52:07
8.222.211.16:443   | 108.162.227.141 | SG | 225ms | cloudflare | 2023-09-04 00:19:06
8.222.212.219:443  | 162.158.189.117 | SG | 225ms | cloudflare | 2023-09-04 00:19:07
8.222.211.16:443   | 172.70.143.90  | SG | 226ms | cloudflare | 2023-09-04 00:18:49
140.238.156.220:443 | 108.162.241.108 | CA | 227ms | cloudflare | 2023-09-04 03:02:57
45.131.133.189:443 | 162.158.178.59 | ES | 232ms | cloudflare | 2023-09-03 23:52:07
8.222.226.15:443   | 162.158.170.177 | SG | 242ms | cloudflare | 2023-09-04 00:19:10
140.238.101.171:443 | 172.70.90.32   | GB | 244ms | cloudflare | 2023-09-04 02:57:51
8.222.226.15:443   | 162.158.170.177 | SG | 244ms | cloudflare | 2023-09-04 00:18:51
